Origem,Destino,Distancia
ACRELANDIA,ANAGE,3843.0568928125917
ACRELANDIA,ANDARAI,3785.733252721408
ACRELANDIA,ANDORINHA,3997.468012104354
ACRELANDIA,ANGICAL,3286.176837304819
ACRELANDIA,ANGUERA,4086.3190097117554
ACRELANDIA,ANTAS,4218.684672940443
ACRELANDIA,ANTONIO CARDOSO,4105.651716808344
ACRELANDIA,ANTONIO GONCALVES,3931.8926408299267
ACRELANDIA,APORA,4254.70807609639
ACRELANDIA,APUAREMA,4030.5860728760063
ACRELANDIA,ARACAS,4239.197736195494
ACRELANDIA,ARACATU,3791.7066042492925
ACRELANDIA,ARACI,4124.67017742353
ACRELANDIA,ARAMARI,4195.973102146292
ACRELANDIA,ARATACA,4103.706067964917
ACRELANDIA,ARATUIPE,4128.610832115051
ACRELANDIA,AURELINO LEAL,4098.607722985857
ACRELANDIA,BAIANOPOLIS,3312.633604872678
ACRELANDIA,BAIXA GRANDE,3950.31847720008
ACRELANDIA,BANZAE,4176.820783369277
ACRELANDIA,BARRA,3508.762307256635
ACRELANDIA,BARRA DA ESTIVA,3797.891870310778
ACRELANDIA,BARRA DO CHOCA,3929.1775071285147
ACRELANDIA,BARRA DO MENDES,3672.0444679799843
ACRELANDIA,BARRA DO ROCHA,4056.4687334587434
ACRELANDIA,BARREIRAS,3243.7099487879927
ACRELANDIA,BARRO ALTO,3692.3210985470637
ACRELANDIA,BARRO PRETO,4085.929993220986
ACRELANDIA,BELMONTE,4193.001878159664
ACRELANDIA,BELO CAMPO,3833.4830609884734
ACRELANDIA,BIRITINGA,4148.738684280956
ACRELANDIA,BOA NOVA,3972.329211092758
ACRELANDIA,BOA VISTA DO TUPIM,3890.9719384443974
ACRELANDIA,BOM JESUS DA LAPA,3488.640036138905
ACRELANDIA,BOM JESUS DA SERRA,3929.203212778542
ACRELANDIA,BONINAL,3713.1005175080672
ACRELANDIA,BONITO,3788.89375926588
ACRELANDIA,BOQUIRA,3581.64460091561
ACRELANDIA,BOTUPORA,3619.969584189524
ACRELANDIA,BREJOES,4013.6957503462672
ACRELANDIA,BREJOLANDIA,3397.997917080049
ACRELANDIA,BROTAS DE MACAUBAS,3589.5827907522316
ACRELANDIA,BRUMADO,3758.593935742429
ACRELANDIA,BUERAREMA,4113.115217031484
ACRELANDIA,BURITIRAMA,3436.0656868852693
ACRELANDIA,CAATIBA,3955.497431036398
ACRELANDIA,CABACEIRAS DO PARAGUACU,4096.122222162425
ACRELANDIA,CACHOEIRA,4131.846630187742
ACRELANDIA,CACULE,3683.9282380125856
ACRELANDIA,CAEM,3907.9724432359076
ACRELANDIA,CAETANOS,3869.2915046320577
ACRELANDIA,CAETITE,3638.967019883798
ACRELANDIA,CAFARNAUM,3758.0692031670405
ACRELANDIA,CAIRU,4127.320047728374
ACRELANDIA,CALDEIRAO GRANDE,3927.0847427566728
ACRELANDIA,CAMACAN,4095.5269131136793
ACRELANDIA,CAMACARI,4224.612570361194
ACRELANDIA,CAMAMU,4124.718988581145
ACRELANDIA,CAMPO ALEGRE DE LOURDES,3531.9112573332095
ACRELANDIA,CAMPO FORMOSO,3924.670845033067
ACRELANDIA,CANAPOLIS,3370.9839820465886
ACRELANDIA,CANARANA,3713.943102630028
ACRELANDIA,CANAVIEIRAS,4180.029461765247
ACRELANDIA,CANDEAL,4103.77584536614
ACRELANDIA,CANDEIAS,4190.743638032747
ACRELANDIA,CANDIBA,3589.921261503269
ACRELANDIA,CANDIDO SALES,3849.099940540024
ACRELANDIA,CANSANCAO,4046.7697437604966
ACRELANDIA,CANUDOS,4102.923394577781
ACRELANDIA,CAPELA DO ALTO ALEGRE,3997.479793386852
ACRELANDIA,CAPIM GROSSO,3970.2297177508995
ACRELANDIA,CARAIBAS,3814.0723286290568
ACRELANDIA,CARAVELAS,4192.478656200393
ACRELANDIA,CARDEAL DA SILVA,4276.115250991765
ACRELANDIA,CARINHANHA,3458.0331969621398
ACRELANDIA,CASA NOVA,3836.552340894362
ACRELANDIA,CASTRO ALVES,4064.3567645712756
ACRELANDIA,CATOLANDIA,3264.4808657809876
ACRELANDIA,CATU,4215.0009729859
ACRELANDIA,CATURAMA,3652.490558330682
ACRELANDIA,CENTRAL,3660.574035859276
ACRELANDIA,CHORROCHO,4116.418691153013
ACRELANDIA,CICERO DANTAS,4210.672983245672
ACRELANDIA,CIPO,4190.804862629871
ACRELANDIA,COARACI,4071.196163037713
ACRELANDIA,COCOS,3344.5621095770744
ACRELANDIA,CONCEICAO DA FEIRA,4125.177480505863
ACRELANDIA,CONCEICAO DO ALMEIDA,4102.7062734956535
ACRELANDIA,CONCEICAO DO COITE,4078.033890869689
ACRELANDIA,CONCEICAO DO JACUIPE,4164.164605894577
ACRELANDIA,CONDE,4324.163668784422
ACRELANDIA,CONDEUBA,3729.9437297741492
ACRELANDIA,CONTENDAS DO SINCORA,3840.6835996564205
